pair_type,left_id,left_name,right_id,right_name,gpu_length_mm,case_max_gpu_length_mm,compatible
gpu_case,21,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,82,잘만 N30 백사십 (블랙),249.0,430.0,yes
gpu_case,21,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,83,앱코 G31 오메가포스 세븐팬 (블랙),249.0,400.0,yes
gpu_case,21,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,84,3RSYS L600 Quiet (블랙),249.0,400.0,yes
gpu_case,21,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,85,오쓰 SOLID FULL MESH (블랙),249.0,400.0,yes
gpu_case,21,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),249.0,408.0,yes
gpu_case,21,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,87,Antec FLUX PRO MESH (블랙),249.0,455.0,yes
gpu_case,21,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),249.0,380.0,yes
gpu_case,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,80,DAVEN D7 Mesh 세븐팬 (블랙),330.8,400.0,yes
gpu_case,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,81,darkFlash DS500 RGB (블랙),330.8,405.0,yes
gpu_case,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,82,잘만 N30 백사십 (블랙),330.8,430.0,yes
gpu_case,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,83,앱코 G31 오메가포스 세븐팬 (블랙),330.8,400.0,yes
gpu_case,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,84,3RSYS L600 Quiet (블랙),330.8,400.0,yes
gpu_case,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,85,오쓰 SOLID FULL MESH (블랙),330.8,400.0,yes
gpu_case,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),330.8,408.0,yes
gpu_case,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,87,Antec FLUX PRO MESH (블랙),330.8,455.0,yes
gpu_case,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),330.8,380.0,yes
